id,year,authors,title,track,market,method,priority,replicate,replication_id,source_url,notes,verification_status,metadata_checked_on,metadata_evidence_url,pdf_url,pdf_status
1,1939,Nicholas Kaldor,Speculation and Economic Stability,economics,global,theory,P2,no,,,Early inventory/speculation and convenience-yield foundations,imported_unverified,,,,not_checked
2,1949,Holbrook Working,The Theory of Price of Storage,economics,global,theory,P1,optional,,,Storage theory; contango/backwardation and inventories,imported_unverified,,,,not_checked
3,1958,Michael J. Brennan,The Supply of Storage,economics,global,theory,P1,optional,,,Storage supply and convenience yield,imported_unverified,,,,not_checked
4,1976,Fischer Black,The Pricing of Commodity Contracts,economics,global,pricing theory,P1,optional,,https://doi.org/10.1016/0304-405X(76)90024-6,Commodity forward/futures pricing,imported_unverified,,,,not_checked
5,1983,Carter; Rausser; Schmitz,Efficient Asset Portfolios and the Theory of Normal Backwardation,economics,global,asset pricing,P2,no,,,Normal backwardation and portfolio risk,imported_unverified,,,,not_checked
6,1985,Eric C. Chang,Returns to Speculators and the Theory of Normal Backwardation,economics,global,empirical asset pricing,P2,no,,,Speculator returns and normal backwardation,imported_unverified,,,,not_checked
7,1987,Eugene F. Fama; Kenneth R. French,"Commodity Futures Prices: Some Evidence on Forecast Power, Premiums, and the Theory of Storage",economics,global,basis/storage/risk premium,P0,core,R01,https://ideas.repec.org/a/ucp/jnlbus/v60y1987i1p55-73.html,Core basis and term-structure foundation,imported_unverified,,,,not_checked
8,1988,David Hirshleifer,"Residual Risk, Trading Costs, and Commodity Futures Risk Premia",economics,global,hedging/risk premium,P1,optional,,https://sites.uci.edu/dhirshle/abstracts/residual-risk-trading-costs-and-commodity-futures-risk-premia/,Risk-bearing interpretation of futures premia,imported_unverified,,,,not_checked
9,1992,Hendrik Bessembinder,"Systematic Risk, Hedging Pressure, and Risk Premiums in Futures Markets",economics,global,hedging pressure,P1,optional,,https://doi.org/10.1093/rfs/5.4.637,Hedging pressure as a risk-premium predictor,imported_unverified,,,,not_checked
10,2000,Frans A. de Roon; Theo E. Nijman; Chris Veld,Hedging Pressure Effects in Futures Markets,economics,global,hedging pressure,P1,optional,,,Own- and cross-market hedging pressure,imported_unverified,,,,not_checked
11,2006,Gary Gorton; K. Geert Rouwenhorst,Facts and Fantasies about Commodity Futures,classical factors,global,long-run commodity returns,P0,optional,,,Commodity futures as an asset class,imported_unverified,,,,not_checked
12,2006,Claude B. Erb; Campbell R. Harvey,The Strategic and Tactical Value of Commodity Futures,classical factors,global,momentum/term structure/portfolio,P0,optional,,,Early practical factor and portfolio decomposition,imported_unverified,,,,not_checked
13,2007,Joelle Miffre; Georgios Rallis,Momentum Strategies in Commodity Futures Markets,classical factors,global,cross-sectional momentum,P0,core,R02,https://doi.org/10.1016/j.jbankfin.2007.01.005,Canonical commodity cross-sectional momentum,imported_unverified,,,,not_checked
14,2010,Ana-Maria Fuertes; Joelle Miffre; Georgios Rallis,Tactical Allocation in Commodity Futures Markets: Combining Momentum and Term Structure Signals,classical factors,global,double-sort momentum/carry,P0,core,R03,https://doi.org/10.1016/j.jbankfin.2010.04.009,Momentum plus term-structure combination,metadata_checked,2026-09-16,https://openaccess.city.ac.uk/id/eprint/6416/,,not_checked
15,2012,Harrison Hong; Motohiro Yogo,What Does Futures Market Interest Tell Us About the Macroeconomy and Asset Prices?,classical factors,global,open interest/macro,P0,core,R05,https://doi.org/10.1016/j.jfineco.2012.04.005,Open interest as predictive information,imported_unverified,,,,not_checked
16,2012,Tobias J. Moskowitz; Yao Hua Ooi; Lasse Heje Pedersen,Time Series Momentum,classical factors,multi-asset,time-series momentum,P0,core,R04,https://doi.org/10.1016/j.jfineco.2011.11.003,Canonical TSMOM/CTA benchmark,metadata_checked,2026-09-16,https://www.sciencedirect.com/science/article/pii/S0304405X11002613,,not_checked
17,2013,Gary B. Gorton; Fumio Hayashi; K. Geert Rouwenhorst,The Fundamentals of Commodity Futures Returns,classical factors,global,inventory/basis/momentum/volatility,P0,core,R06,https://doi.org/10.1093/rof/rfs019,Connects inventories to futures risk premia,imported_unverified,,,,not_checked
18,2013,Devraj Basu; Joelle Miffre,Capturing the Risk Premium of Commodity Futures: The Role of Hedging Pressure,classical factors,global,hedging pressure factor,P1,optional,,https://doi.org/10.1016/j.jbankfin.2013.07.016,Positioning factor distinct from momentum/term structure,imported_unverified,,,,not_checked
19,2013,Clifford S. Asness; Tobias J. Moskowitz; Lasse Heje Pedersen,Value and Momentum Everywhere,classical factors,multi-asset,value/momentum,P1,optional,,,Cross-asset robustness and common-factor perspective,imported_unverified,,,,not_checked
20,2013,Brian Hurst; Yao Hua Ooi; Lasse Heje Pedersen,Demystifying Managed Futures,classical factors,multi-asset,CTA/trend/risk allocation,P1,optional,,,Managed-futures decomposition and volatility targeting,imported_unverified,,,,not_checked
21,2014,Marta Szymanowska et al.,An Anatomy of Commodity Futures Risk Premia,classical factors,global,spot premium/term premium,P0,core,R07,https://doi.org/10.1111/jofi.12096,Commodity risk-premium decomposition,imported_unverified,,,,not_checked
22,2014,Charlotta Daskalaki; Alexandros Kostakis; George Skiadopoulos,Are There Common Factors in Individual Commodity Futures Returns?,classical factors,global,factor pricing,P1,optional,,https://doi.org/10.1016/j.jbankfin.2013.11.034,Tests common factors in commodity returns,imported_unverified,,,,not_checked
23,2016,Abby Y. Kim; Yiuman Tse; John K. Wald,Time Series Momentum and Volatility Scaling,classical factors,multi-asset,TSMOM/volatility scaling,P0,core,R08,https://doi.org/10.1016/j.finmar.2016.05.003,Separates signal alpha from volatility scaling,metadata_checked,2026-09-16,https://www.sciencedirect.com/science/article/abs/pii/S1386418116301379,,not_checked
24,2016,Hua Shang; Ping Yuan; Lin Huang,Macroeconomic Factors and the Cross-Section of Commodity Futures Returns,classical factors,global,macro/cross-sectional factors,P1,optional,,https://www.sciencedirect.com/science/article/pii/S1059056016300533,Macro variables in commodity cross-section,metadata_checked,2026-09-16,https://www.sciencedirect.com/science/article/pii/S1059056016300533,,not_checked
25,2017,Chong; Tsui; Chan,Factor Pricing in Commodity Futures and the Role of Liquidity,classical factors,global,liquidity/factor pricing,P1,optional,,,Imported citation needs publisher-level verification; previous DOI was not a reliable match. See MIGRATION.md.,needs_review,,,,not_checked
26,2017,Brian Hurst; Yao Hua Ooi; Lasse Heje Pedersen,A Century of Evidence on Trend-Following Investing,classical factors,multi-asset,long-horizon trend robustness,P0,optional,,,Long-sample robustness of trend following,imported_unverified,,,,not_checked
27,2018,Ralph S. J. Koijen; Tobias J. Moskowitz; Lasse Heje Pedersen; Evert B. Vrugt,Carry,classical factors,multi-asset,carry,P0,core,R09,https://doi.org/10.1016/j.jfineco.2017.11.002,Unified carry definition across asset classes,metadata_checked,2026-09-16,https://research.cbs.dk/en/publications/carry-2/,,not_checked
28,2018,Fernandez-Perez et al.,The Skewness of Commodity Futures Returns,classical factors,global,skewness factor,P1,optional,,,Cross-sectional skewness signal,imported_unverified,,,,not_checked
29,2019,Martijn Boons; Melissa Porras Prado,Basis-Momentum,classical factors,global,basis momentum/curve,P0,core,R10,https://doi.org/10.1111/jofi.12738,Uses information in the futures curve beyond simple carry,metadata_checked,2026-09-16,https://onlinelibrary.wiley.com/doi/abs/10.1111/jofi.12738,,not_checked
30,2019,Gurdip Bakshi; Xiaohui Gao; Alberto Rossi,Understanding the Sources of Risk Underlying the Cross Section of Commodity Returns,classical factors,global,average/carry/momentum,P0,core,R11,,Commodity three-factor benchmark,imported_unverified,,,,not_checked
31,2019,Hyuna Ham; Hoon Cho; Hyeongjun Kim; Doojin Ryu,Time-Series Momentum in China's Commodity Futures Market,china futures,China,time-series momentum,P0,core,R12,https://doi.org/10.1002/fut.22053,China-specific TSMOM replication,metadata_checked,2026-09-16,https://pure.kaist.ac.kr/en/publications/time-series-momentum-in-chinas-commodity-futures-market/,,not_checked
32,2020,Xuan Zhang; Jun Xiao; Zhekai Zhang,An Anatomy of Commodity Futures Returns in China,china futures,China,average/carry/momentum,P0,core,R13,https://doi.org/10.1016/j.pacfin.2020.101366,Core China cross-sectional factor paper,metadata_checked,2026-09-16,https://eprints.gla.ac.uk/219506/,,not_checked
33,2021,Xu; Wang,Managing Volatility in Commodity Momentum,china futures,China,momentum/volatility management,P0,optional,,,China momentum with volatility management,imported_unverified,,,,not_checked
34,2022,Zhang et al.,Auto Tuning of Price Prediction Models for High-Frequency Trading via Reinforcement Learning,china futures,China,reinforcement learning/HFT,P1,optional,,,RL model-selection/tuning on Chinese commodity futures,imported_unverified,,,,not_checked
35,2026,Yuhan Cheng; Yanchu Liu; Heyang Zhou,Large Language Models and Futures Price Factors in China,china futures / LLM,China,LLM factor generation,P0,core,R16,https://doi.org/10.1002/fut.70061,"GPT-generated futures factors; first published online 2025, volume 46 in 2026",metadata_checked,2026-09-16,https://onlinelibrary.wiley.com/doi/10.1002/fut.70061,,not_checked
36,2026,Zhenlong Zheng; Yiye Liu; You Wu; Rong Chen,Curve Momentum in China,china futures,China,curve-relative momentum,P0,core,R17,https://doi.org/10.1002/fut.70093,Momentum across maturities within a futures curve,metadata_checked,2026-09-16,https://onlinelibrary.wiley.com/doi/10.1002/fut.70093,,not_checked
37,2026,Qian Han; Pei-lin Hsieh; Lu Zhang,Commodity Futures Report Text Sentiment and Returns,china futures / NLP,China,text sentiment,P0,core,R18,https://doi.org/10.1002/fut.70090,Analyst-report text sentiment across 37 Chinese commodity futures,metadata_checked,2026-09-16,https://onlinelibrary.wiley.com/doi/10.1002/fut.70090,,not_checked
38,2020,Shihao Gu; Bryan Kelly; Dacheng Xiu,Empirical Asset Pricing via Machine Learning,machine learning,equities/transfer,RF/GBM/NN/PCA,P0,optional,,,Methodological ML benchmark to transfer to futures,imported_unverified,,,,not_checked
39,2023,Chen; Pelger; Zhu,Deep Learning in Asset Pricing,machine learning,equities/transfer,deep neural networks,P1,optional,,,Deep asset-pricing methodology,imported_unverified,,,,not_checked
40,2024,Shirui Wang; Tianyang Zhang,Predictability of Commodity Futures Returns with Machine Learning Models,machine learning,global commodities,LightGBM/ML/SHAP,P0,core,R14,https://doi.org/10.1002/fut.22471,22 commodities; OOS forecasting and explainability,metadata_checked,2026-09-16,https://onlinelibrary.wiley.com/doi/10.1002/fut.22471,,not_checked
41,2025,Timotheos Angelidis; Athanasios Sakkas; Nikolaos Tessaromatis,Predicting Commodity Returns: Time Series vs. Cross Sectional Prediction Models,machine learning,global commodities,CS/TS prediction + regularized ML,P0,core,R15,https://doi.org/10.1016/j.jcomm.2025.100475,37 commodities; strong case for pooled cross-sectional prediction,metadata_checked,2026-09-16,https://www.dept.aueb.gr/en/content/publications-scientific-journals,,not_checked
42,2026,Yong Li; Lulu Qin; Chenying Yang,Enhancing Commodity Futures Price Prediction With Geopolitical Risk Embedding: A Comparative Study of Deep Learning Models,deep learning,China,LSTM/GRU/GAN/WGAN,P1,optional,,https://doi.org/10.1002/fut.70096,Chinese commodity price forecasting with geopolitical-risk embeddings,imported_unverified,,,,not_checked
43,2021,Bryan Lim et al.,Temporal Fusion Transformers for Interpretable Multi-Horizon Time Series Forecasting,deep learning,general time series,TFT,P1,optional,,,Interpretable multi-horizon architecture transferable to futures,imported_unverified,,,,not_checked
44,2024,Li et al.,MASTER: Market-Guided Stock Transformer for Stock Price Forecasting,deep learning,equities/transfer,cross-asset transformer,P1,optional,,,Useful cross-sectional + temporal attention design,imported_unverified,,,,not_checked
